"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"44",1.48013,6.798369,4.870622,5.530765,9.996755,7.886698,3.074708,"ID_94","VERIO","samseg","VERIO_samseg"
"45",1.562808,6.556753,5.162821,5.319386,10.391376,8.42075,3.254241,"ID_74","SKYRA","samseg","SKYRA_samseg"
"46",1.492173,6.940549,4.813662,5.544593,9.847635,8.070657,3.332582,"ID_19","VERIO","samseg","VERIO_samseg"
"47",1.381751,6.097754,4.900851,4.963178,10.107937,7.161375,3.062095,"ID_37","VERIO","samseg","VERIO_samseg"
"48",1.606426,6.365658,5.293622,5.098002,10.524752,7.931425,3.004588,"ID_106","SKYRA","samseg","SKYRA_samseg"
"49",1.498326,6.860322,4.9683,5.604051,10.01596,7.892143,3.105351,"ID_94","SKYRA","samseg","SKYRA_samseg"
"50",1.565171,7.024293,4.88454,5.761441,10.191258,8.530946,3.60767,"ID_33","VERIO","samseg","VERIO_samseg"
"51",1.222361,5.575102,3.808782,4.408252,10.064162,6.962954,2.493292,"ID_70","SKYRA","samseg","SKYRA_samseg"
"52",1.560952,7.088732,4.35418,5.694693,10.125532,8.692666,3.257228,"ID_42","VERIO","samseg","VERIO_samseg"
"53",1.364076,6.026099,4.191743,4.905206,10.208812,7.277264,2.90112,"ID_14","VERIO","samseg","VERIO_samseg"
"54",1.331566,6.27022,4.236914,5.007002,9.731893,7.213108,2.646213,"ID_47","SKYRA","samseg","SKYRA_samseg"
"55",1.488439,6.776475,4.508755,5.547408,10.20027,8.447658,3.20401,"ID_32","VERIO","samseg","VERIO_samseg"
"56",1.391664,5.991862,4.468662,4.741432,10.225867,7.554709,2.90361,"ID_64","SKYRA","samseg","SKYRA_samseg"
"57",1.611695,6.975788,5.206153,5.849437,9.961434,8.021936,3.386196,"ID_102","VERIO","samseg","VERIO_samseg"
"58",1.435384,6.246931,4.640785,5.012738,10.430574,7.741393,2.819808,"ID_27","VERIO","samseg","VERIO_samseg"
"59",1.264139,5.732776,3.808552,4.608357,9.952596,7.159529,2.731096,"ID_41","SKYRA","samseg","SKYRA_samseg"
"60",1.463377,6.474863,4.700518,5.354207,10.358569,8.207636,3.399059,"ID_118","SKYRA","samseg","SKYRA_samseg"
"61",1.623291,6.952374,5.190353,5.854486,9.973273,8.009978,3.359904,"ID_102","SKYRA","samseg","SKYRA_samseg"
"62",1.298005,5.962641,4.205711,4.800331,9.903146,7.087358,2.599488,"ID_80","VERIO","samseg","VERIO_samseg"
"63",1.550047,6.804403,5.050989,5.479081,9.909646,8.018456,3.219348,"ID_46","SKYRA","samseg","SKYRA_samseg"
"64",1.466075,6.487416,4.692834,5.355913,10.298599,8.201656,3.397684,"ID_118","VERIO","samseg","VERIO_samseg"
"65",1.590428,7.320309,4.760074,5.946922,10.03635,7.501951,3.239848,"ID_66","VERIO","samseg","VERIO_samseg"
"66",1.412407,6.422017,4.548487,5.154598,10.010981,8.096147,3.04015,"ID_48","VERIO","samseg","VERIO_samseg"
"67",1.389271,6.41785,4.346407,5.186806,10.144561,7.869935,2.795129,"ID_15","VERIO","samseg","VERIO_samseg"
"68",1.660577,7.713862,5.143421,6.226185,10.038118,8.940334,3.540562,"ID_11","SKYRA","samseg","SKYRA_samseg"
"69",1.899753,8.702483,5.852649,7.015709,10.508466,9.327296,4.027204,"ID_36","SKYRA","samseg","SKYRA_samseg"
"70",1.348013,5.965945,4.176122,4.873429,10.012223,7.428674,2.677453,"ID_12","VERIO","samseg","VERIO_samseg"
"71",1.525289,7.172633,4.785146,5.688685,10.021327,8.594613,3.332372,"ID_17","VERIO","samseg","VERIO_samseg"
"72",1.39044,6.457318,4.235501,5.346619,10.37809,7.891486,2.957034,"ID_79","VERIO","samseg","VERIO_samseg"
"73",1.510602,6.786673,4.699993,5.38501,10.116604,7.955907,3.115578,"ID_53","SKYRA","samseg","SKYRA_samseg"
"74",1.463032,6.491023,4.831971,5.235818,10.436157,8.005504,3.080405,"ID_95","VERIO","samseg","VERIO_samseg"
"75",1.653426,7.42576,5.48732,6.046895,10.354349,8.236949,3.462825,"ID_83","SKYRA","samseg","SKYRA_samseg"
"76",1.371779,6.106987,4.200245,5.002522,10.052304,6.909619,2.750782,"ID_121","SKYRA","samseg","SKYRA_samseg"
"77",1.425412,6.513193,4.526552,5.107464,9.997167,7.748236,2.855622,"ID_13","SKYRA","samseg","SKYRA_samseg"
"78",1.47155,6.887091,4.639959,5.574578,10.203113,7.770833,2.911579,"ID_67","SKYRA","samseg","SKYRA_samseg"
"79",1.545214,6.746608,4.730112,5.348526,10.367674,8.147333,3.049707,"ID_103","SKYRA","samseg","SKYRA_samseg"
"80",1.418679,6.536581,4.34743,5.264632,10.507564,7.667776,2.961228,"ID_108","VERIO","samseg","VERIO_samseg"
"81",1.543073,7.097567,4.985605,5.698519,10.108918,8.638337,3.187361,"ID_78","SKYRA","samseg","SKYRA_samseg"
"82",1.456824,6.511413,4.685629,5.089743,10.122114,7.360739,2.923081,"ID_92","SKYRA","samseg","SKYRA_samseg"
"83",1.384716,6.322295,4.186872,5.08048,10.493355,7.841402,2.991618,"ID_16","SKYRA","samseg","SKYRA_samseg"
