"","TIV","TGMV","TWMV","TCV","LVV","HCV","AV","id","scanner","segmentation","SITE"
"44",1.477772,6.748882,4.6076,5.397223,10.162842,8.498567,3.090373,"ID_5","SKYRA","samseg","SKYRA_samseg"
"45",1.578943,6.644884,5.187564,5.439442,10.37601,8.408456,3.158148,"ID_74","VERIO","samseg","VERIO_samseg"
"46",1.796364,7.921962,5.748686,6.36172,10.727392,8.355138,3.560804,"ID_58","SKYRA","samseg","SKYRA_samseg"
"47",1.864534,8.712737,5.879149,7.071907,10.656318,9.019405,3.722877,"ID_45","SKYRA","samseg","SKYRA_samseg"
"48",1.713193,7.314924,5.590965,5.905054,10.819422,8.938031,3.532282,"ID_43","VERIO","samseg","VERIO_samseg"
"49",1.354309,6.254046,4.063248,4.954988,10.802672,7.761745,2.777045,"ID_65","VERIO","samseg","VERIO_samseg"
"50",1.359139,6.178954,4.30067,5.134317,9.914975,7.123266,2.758454,"ID_82","SKYRA","samseg","SKYRA_samseg"
"51",1.431679,6.66848,4.724933,5.278898,9.949547,7.878843,3.065612,"ID_81","SKYRA","samseg","SKYRA_samseg"
"52",1.682316,8.076337,5.11397,6.69947,10.015841,8.853187,3.230071,"ID_76","VERIO","samseg","VERIO_samseg"
"53",1.47982,6.792833,4.875594,5.530225,10.00495,7.875028,3.064803,"ID_94","VERIO","samseg","VERIO_samseg"
"54",1.560325,6.549402,5.164973,5.321783,10.390579,8.406074,3.242756,"ID_74","SKYRA","samseg","SKYRA_samseg"
"55",1.641492,7.041863,5.36135,5.583157,10.666742,8.842225,3.429976,"ID_84","SKYRA","samseg","SKYRA_samseg"
"56",1.491412,6.935215,4.81227,5.546671,9.83514,8.05532,3.322338,"ID_19","VERIO","samseg","VERIO_samseg"
"57",1.381741,6.093119,4.906972,4.961492,10.111703,7.152678,3.052264,"ID_37","VERIO","samseg","VERIO_samseg"
"58",1.603377,6.359987,5.295756,5.101609,10.524104,7.918956,2.993838,"ID_106","SKYRA","samseg","SKYRA_samseg"
"59",1.497362,6.855642,4.968766,5.603599,10.020984,7.877304,3.094074,"ID_94","SKYRA","samseg","SKYRA_samseg"
"60",1.563766,7.018183,4.881937,5.765696,10.191065,8.522326,3.599024,"ID_33","VERIO","samseg","VERIO_samseg"
"61",1.224391,5.579438,3.808743,4.414068,10.063708,6.953716,2.483476,"ID_70","SKYRA","samseg","SKYRA_samseg"
"62",1.559815,7.083779,4.354468,5.698363,10.129487,8.685068,3.247677,"ID_42","VERIO","samseg","VERIO_samseg"
"63",1.364288,6.025916,4.200376,4.913151,10.222928,7.274821,2.89505,"ID_14","VERIO","samseg","VERIO_samseg"
"64",1.332766,6.270724,4.237478,5.009813,9.736599,7.201332,2.636287,"ID_47","SKYRA","samseg","SKYRA_samseg"
"65",1.487846,6.771407,4.510927,5.549117,10.208441,8.439013,3.194437,"ID_32","VERIO","samseg","VERIO_samseg"
"66",1.391209,5.989367,4.4633,4.743786,10.224838,7.538957,2.892613,"ID_64","SKYRA","samseg","SKYRA_samseg"
"67",1.610071,6.96934,5.203539,5.853184,9.953862,8.01248,3.376409,"ID_102","VERIO","samseg","VERIO_samseg"
"68",1.434725,6.242185,4.640028,5.014244,10.440997,7.73243,2.810739,"ID_27","VERIO","samseg","VERIO_samseg"
"69",1.265627,5.735727,3.808513,4.613079,9.952017,7.149404,2.72058,"ID_41","SKYRA","samseg","SKYRA_samseg"
"70",1.462194,6.468337,4.694018,5.352718,10.354702,8.188269,3.386503,"ID_118","SKYRA","samseg","SKYRA_samseg"
"71",1.620476,6.939007,5.180146,5.847609,9.965831,7.993926,3.347581,"ID_102","SKYRA","samseg","SKYRA_samseg"
"72",1.298522,5.958049,4.204415,4.797452,9.904702,7.078608,2.588996,"ID_80","VERIO","samseg","VERIO_samseg"
"73",1.54784,6.797494,5.049624,5.478845,9.905057,8.004165,3.207324,"ID_46","SKYRA","samseg","SKYRA_samseg"
"74",1.465283,6.481711,4.689412,5.357371,10.30057,8.185871,3.387888,"ID_118","VERIO","samseg","VERIO_samseg"
"75",1.560617,7.043895,4.769609,5.589119,10.232788,8.1116,3.019416,"ID_61","SKYRA","samseg","SKYRA_samseg"
"76",1.59,7.316934,4.765289,5.950768,10.032227,7.500125,3.230293,"ID_66","VERIO","samseg","VERIO_samseg"
"77",1.412291,6.417062,4.551083,5.153431,10.017109,8.087251,3.030343,"ID_48","VERIO","samseg","VERIO_samseg"
"78",1.389213,6.413113,4.346612,5.186758,10.148723,7.861747,2.784917,"ID_15","VERIO","samseg","VERIO_samseg"
"79",1.657976,7.704252,5.145178,6.22465,10.037323,8.922669,3.528392,"ID_11","SKYRA","samseg","SKYRA_samseg"
"80",1.89358,8.681617,5.852997,7.00754,10.514043,9.305984,4.013217,"ID_36","SKYRA","samseg","SKYRA_samseg"
"81",1.347943,5.960891,4.16857,4.872567,10.014238,7.413868,2.667007,"ID_12","VERIO","samseg","VERIO_samseg"
"82",1.524574,7.167134,4.789823,5.690254,10.029578,8.584615,3.322939,"ID_17","VERIO","samseg","VERIO_samseg"
"83",1.390321,6.452465,4.229767,5.347832,10.373316,7.878819,2.946511,"ID_79","VERIO","samseg","VERIO_samseg"
"84",1.509001,6.779745,4.697254,5.385204,10.108386,7.941065,3.103826,"ID_53","SKYRA","samseg","SKYRA_samseg"
"85",1.462878,6.490651,4.846782,5.243446,10.438097,7.999771,3.072941,"ID_95","VERIO","samseg","VERIO_samseg"
"86",1.649971,7.413217,5.484476,6.043472,10.346398,8.220839,3.450053,"ID_83","SKYRA","samseg","SKYRA_samseg"
"87",1.372286,6.104846,4.192361,5.002747,10.03958,6.895045,2.739968,"ID_121","SKYRA","samseg","SKYRA_samseg"
"88",1.425394,6.511563,4.527078,5.109725,10.002171,7.734046,2.84508,"ID_13","SKYRA","samseg","SKYRA_samseg"
"89",1.470362,6.879455,4.638649,5.57382,10.198853,7.757659,2.900459,"ID_67","SKYRA","samseg","SKYRA_samseg"
"90",1.54328,6.739971,4.726067,5.348831,10.356712,8.130346,3.038133,"ID_103","SKYRA","samseg","SKYRA_samseg"
"91",1.418755,6.531129,4.34682,5.262144,10.521271,7.655948,2.951161,"ID_108","VERIO","samseg","VERIO_samseg"
"92",1.541735,7.091662,4.986213,5.69804,10.11295,8.620126,3.17597,"ID_78","SKYRA","samseg","SKYRA_samseg"
"93",1.455935,6.504868,4.678166,5.089338,10.114732,7.34456,2.911838,"ID_92","SKYRA","samseg","SKYRA_samseg"
"94",1.384639,6.320067,4.186783,5.082621,10.493384,7.828201,2.980337,"ID_16","SKYRA","samseg","SKYRA_samseg"
"95",1.675362,7.615841,5.094252,6.099966,10.037648,8.335683,3.43106,"ID_28","VERIO","samseg","VERIO_samseg"
"96",1.596743,7.116339,4.92829,5.691507,10.300572,8.093228,3.302147,"ID_93","SKYRA","samseg","SKYRA_samseg"
"97",1.349739,6.245404,4.062404,4.944898,10.784406,7.682913,2.763923,"ID_65","SKYRA","samseg","SKYRA_samseg"
"98",1.429617,6.061491,4.126038,4.833993,10.637732,7.306108,3.270534,"ID_50","SKYRA","samseg","SKYRA_samseg"
"99",1.49575,6.812744,4.699809,5.405533,10.05286,8.061125,3.074079,"ID_53","VERIO","samseg","VERIO_samseg"
"100",1.636472,6.881027,5.501009,5.620805,10.687699,7.96525,3.513924,"ID_54","SKYRA","samseg","SKYRA_samseg"
"101",1.521882,6.991042,5.096312,5.692141,10.284601,8.168369,3.147404,"ID_101","SKYRA","samseg","SKYRA_samseg"
"102",1.62598,7.007236,5.239649,5.620738,10.15798,8.615951,3.51937,"ID_30","SKYRA","samseg","SKYRA_samseg"
"103",1.553822,7.018811,4.820402,5.604167,10.587358,9.032776,3.013415,"ID_6","VERIO","samseg","VERIO_samseg"
"104",1.475659,6.663985,4.460478,5.694737,10.11557,8.114249,3.078212,"ID_73","VERIO","samseg","VERIO_samseg"
"105",1.391835,6.170997,4.491838,5.001228,10.43703,7.708651,2.683743,"ID_55","VERIO","samseg","VERIO_samseg"
"106",1.463787,6.771716,4.598817,5.491492,9.917017,8.492002,3.057846,"ID_77","SKYRA","samseg","SKYRA_samseg"
"107",1.54746,6.753116,4.793169,5.373167,10.347528,8.091957,3.069136,"ID_103","VERIO","samseg","VERIO_samseg"
"108",1.504119,6.695172,4.790395,5.389102,9.949616,7.57866,2.920949,"ID_24","VERIO","samseg","VERIO_samseg"
"109",1.789778,7.936927,5.784261,6.389633,10.713436,8.259594,3.582303,"ID_58","VERIO","samseg","VERIO_samseg"
"110",1.531061,6.866389,4.797464,5.52681,10.091753,8.200386,3.154477,"ID_9","SKYRA","samseg","SKYRA_samseg"
